epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,write_budget,update_alive,class_read_div,lane_balance,slot_div,route_entropy_band,step_alive_budget,route_offdiag_outside_boundary_cost,route_allowed_mass,route_disallowed_mass,route_allowed_cost,route_uniform_cost,boundary_budget_cost,boundary_flatness,boundary_peak_count,boundary_soft_peak_count,boundary_peak_cost,boundary_flatness_cost,boundary_usefulness_cost,boundary_usefulness_proxy,late_input_read_cost,memory_write_cost,memory_overwrite_cost,memory_write_gate,memory_future_read,memory_head_consumer,memory_consumer_score,detail_attention_mass,detail_head_shortcut_cost,skip_gate_mean,skip_cost,update_collapse_proxy,residual_dominance_proxy,operator_complexity_cost,sequence_nonflat_score,sequence_route_delta_mean,sequence_primitive_delta_mean,sequence_read_delta_mean,logit_norm,pair_update_norm,train_seconds,train_batches_per_sec,train_samples_per_sec,eval_seconds,eval_batches_per_sec,eval_samples_per_sec
1,2.2136673851013184,2.1825434551239016,0.17175,2.067723213195801,0.2125,0.2125,2.0534039951499493e-05,0.0,0.7198789625167846,0.0,0.318426570892334,0.00043992728187004104,0.000221826053224504,0.5009775958061218,0.5575799369812011,0.442420120716095,0.442420120716095,0.04597494250535965,0.2449890947341919,0.002110447880353604,0.0,0.8888236055374146,1.4039693788290024,0.0033571114540100096,0.00013900802255375312,0.000217011360219999,0.08882204097509384,0.4152390451431274,0.018295127868652342,0.4152390451431274,0.2116063131093979,0.2499692530632019,0.4615755639076233,0.25007794141769407,0.0,0.0,0.0,0.10177314591407775,0.10177314591407775,0.0,0.01440993158519268,0.00046925504732644183,0.009358074836432934,0.0012995992414653302,0.23809299808740617,0.0514885316491127,0.0,0.0,0.0,3.6379311489872634,1.09952603174294,549.76301587147
2,2.037040132522583,2.0069214811325073,0.24266666666666667,1.9342680683135987,0.276,0.276,0.0001190504343394423,0.0,0.7146122479438781,0.0,0.1627653847336769,0.00012376171589130537,0.00028221367113292215,0.3520686101913452,0.6353760843276978,0.36462397027015686,0.36462397027015686,0.015066222911700606,0.3548177754878998,0.01482838685810566,5.888,6.214971893310547,12.228925586815691,0.0020605443129315974,7.145274567301385e-05,0.0036447637602686884,0.07043882727622985,0.4271054120063782,0.021652153581380843,0.4271054120063782,0.21565973365306854,0.2499908732175827,0.46565060639381406,0.2516715338230133,0.0,0.0,0.0,0.10157642006874085,0.10157642006874085,0.0,0.02034824125468731,0.001955801885575056,0.011024360053241252,0.0013138351077213884,0.7014760928153991,0.05617812213301659,0.0,0.0,0.0,3.566932342015207,1.1214117949151015,560.7058974575508
3,1.881385407447815,1.8520182828903198,0.312,1.785535704612732,0.3475,0.3475,0.0015750080314464866,0.0,0.6999055309295654,0.0,0.10357387816905975,0.00020980656973551958,0.0003563157618045807,0.24073495221138,0.6372253913879394,0.3627746636867523,0.3627746636867523,0.011111668842844665,0.5496990036964416,0.04523903101682663,12.0,11.678020111083985,59.059500549316404,0.00038069983953934285,5.201153921916557e-06,0.01630287040024996,0.06387152373790742,0.453187141418457,0.030090988636016846,0.453187141418457,0.2139134907722473,0.24915685069561005,0.46307034158706667,0.25577465295791624,0.0,0.0,0.0,0.10147917598485946,0.10147917598485946,0.0,0.023479599982500075,0.002629502363502979,0.012466781072318554,0.001590190203860402,1.1309621124267577,0.055895100504159925,0.0,0.0,0.0,3.594352398009505,1.1128569369589738,556.4284684794869
4,1.7489502172470093,1.719868670463562,0.36525,1.6554115610122682,0.3975,0.3975,0.00685517306625843,0.0,0.688267171382904,0.0,0.09039949876070022,0.0001891015290748328,0.00045734331430867314,0.11352298986911774,0.6104451189041138,0.3895549380779266,0.3895549380779266,0.019586922019720076,0.8009078698158264,0.04815371356904507,12.0,11.998944076538086,63.983109008789064,0.00023706694662064366,1.303267000366759e-06,0.015643694326281547,0.06314228725433349,0.49347035884857177,0.04588751068711281,0.49347035884857177,0.20834537863731384,0.24822697186470033,0.4565723521709442,0.2605245065689087,0.0,0.0,0.0,0.10137811994552612,0.10137811994552612,0.0,0.029677769601345064,0.0026106426250189544,0.015993073388934135,0.001953726975247264,1.6022791080474854,0.0570334400832653,0.0,0.0,0.0,3.6004664810025133,1.110967154146715,555.4835770733575
5,1.6474599847793578,1.6183887929916383,0.4045,1.5052033214569092,0.4425,0.4425,0.01583139257133007,0.0,0.675784595489502,0.0,0.08302504670619965,0.000137356357765384,0.000565647793468088,0.03755661597847938,0.5961503686904908,0.4038496866226196,0.4038496866226196,0.023267519295215606,0.9364126386642456,0.020744149021804333,12.0,11.99999349975586,63.99989599609375,0.0015716179274022578,3.301907380227931e-05,0.006620067348703742,0.06351317417621613,0.5373414797782898,0.06629122668504715,0.5373414797782898,0.1994404275417328,0.2475295559167862,0.4469699845314026,0.26512983751297,0.0,0.0,0.0,0.1012526884675026,0.1012526884675026,0.0,0.03550857478380203,0.002687019182369113,0.02063608045876026,0.002485931221395731,2.1032191905975344,0.05928112816810608,0.0,0.0,0.0,3.6008379039994907,1.1108525589438936,555.4262794719467
6,1.5274721155166626,1.4981966199874879,0.4449166666666667,1.486427451133728,0.4455,0.4455,0.024467152789235114,0.0,0.6626356072425842,0.0,0.07759267455339432,9.754782443633302e-05,0.0006478258306160569,0.016805070295929907,0.5838645558357238,0.41613551425933837,0.41613551425933837,0.027395942866802216,0.9723898048400879,0.007197655789554119,12.0,11.999997634887695,63.999962158203125,0.0027998389080166816,0.00011225074133835732,0.0014891167040914297,0.06613471579551697,0.5668799996376037,0.08244481492042542,0.5668799996376037,0.1932689710855484,0.24729123747348786,0.4405602090358734,0.270018013715744,0.0,0.0,0.0,0.10121083027124404,0.10121083027124404,0.0,0.04081298971176148,0.0028347894512116907,0.025322775527834893,0.00294043568149209,2.6131539459228517,0.06091993951797486,0.0,0.0,0.0,3.5844824640080333,1.115921207639931,557.9606038199655
7,1.4352951002120973,1.4057473001480103,0.47983333333333333,1.3695226221084595,0.4805,0.4805,0.03084769010543823,0.0,0.6525283398628234,0.0,0.07821649920940399,6.821834889706225e-05,0.0007233042698353529,0.007355220794677734,0.5776498203277588,0.42235023498535157,0.42235023498535157,0.02749855540692806,0.9880155553817749,0.0032374950237572192,12.0,11.999998092651367,63.999969482421875,0.0032233126293867826,0.00014902776165399701,-0.0001832045664996258,0.06876284515857696,0.5855619239807129,0.09343598973751067,0.5855619239807129,0.18804425144195558,0.24738279616832734,0.4354270477294922,0.2733676888942719,0.0,0.0,0.0,0.10117201244831085,0.10117201244831085,0.0,0.046138571202754976,0.003062676711007953,0.02904614445567131,0.0034218121357262135,3.1353279972076415,0.06279737716913224,0.0,0.0,0.0,3.620953734993236,1.1046813333580114,552.3406666790057
