epoch,gumbel_tau,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,boundary_budget_loss,boundary_flatness_loss,boundary_mean,boundary_std,boundary_soft_peak_count,route_entropy,route_entropy_band_loss,self_route_mass,useful_transition_mass,route_disallowed_mass,route_allowed_loss,route_identity_loss,primitive_entropy,primitive_top1_share,primitive_sign_negative_share,primitive_uniform_loss,primitive_diversity_loss,sign_balance_loss,program_cost,memory_write_cost,logit_norm,aux_total,train_seconds,train_samples_per_sec,eval_seconds,eval_samples_per_sec,group_entropy,group_top1_share
1,1.0,2.2054032046000165,2.196049212137858,0.15675,1.8310560035705565,0.3325,0.3325,0.14008248178659444,3.2619878814633316e-05,0.2398387906551361,0.048437838236490886,1.644936730702718,0.6738584656715393,0.001082302689096347,0.25677626466751097,0.4112544881502787,0.33196927213668825,0.33196927213668825,0.0,2.22059050877889,0.20552864587306977,0.4544538542429606,0.0,0.07975686327616374,0.014439942644598584,0.18846595430374147,8.49680578358968,0.23896677197515964,0.009353993934889634,46.402465730992844,258.6069470869742,7.3485264659975655,272.1634070795306,,
2,0.92,1.6337482376098633,1.6259872843424479,0.4026666666666667,1.3100192518234253,0.519,0.519,0.02242714160110821,0.0,0.2195711435476939,0.10102046100298563,1.4882951755523681,0.37731679741541546,0.0,0.258310878276825,0.44178766949971515,0.2999013815720876,0.2999013815720876,0.0,2.1119539909362794,0.15391927087306975,0.507252465248108,0.0,0.033280194600423176,0.00030799338186065486,0.19567864187558492,7.686344716389974,1.9687644399007163,0.0077609472647309306,43.57708274500328,275.3741013417418,7.094809066009475,281.89624010909625,,
3,0.8464,1.2784335997899374,1.2706664161682129,0.5498333333333333,1.0730143575668334,0.6135,0.6135,0.00967807117663324,0.0,0.2339172856807709,0.10225471260150273,1.5877020785013836,0.3867829966545105,0.0,0.2582166395982107,0.42709929100672406,0.3146840682029724,0.3146840682029724,0.0,1.995907156944275,0.16978645833333333,0.521539648214976,0.0,0.04333629353841146,0.0013114937725343528,0.2637393968900045,7.358336400349935,3.3892327524820964,0.007767191770176093,43.37926406599581,276.62986586733206,6.669521055009682,299.87160749687393,,
4,0.778688,1.0321512254079184,1.0245568366050721,0.6368333333333334,0.9030148372650146,0.6925,0.6925,0.010016460762436813,0.0,0.2426135667959849,0.10061892821391423,1.730564813296,0.39244065165519715,0.0,0.2564337519009908,0.4304326258500417,0.3131337045033773,0.3131337045033773,0.0,1.9176937675476073,0.1684348959128062,0.48444068773587545,0.0,0.047306915283203126,0.0008536258281414841,0.3029405557314555,6.96945847829183,4.502415506998698,0.007594394583255053,43.76254342199536,274.20709724948745,6.954302163008833,287.59176019678216,,
5,0.7163929600000001,0.8407133968671163,0.8333981898625692,0.7119166666666666,0.736945394039154,0.7415,0.7415,0.0059955376271003235,0.0,0.26079718478520714,0.11401968042055766,1.977091594696045,0.40060042262077333,0.0,0.25503654607137044,0.43564335791269937,0.3093200668493907,0.3093200668493907,0.0,1.8430224459966025,0.14927083333333332,0.4910633732477824,0.0,0.05006175041198731,0.0003150656899760425,0.3153250058492025,6.508646151224772,5.49690266418457,0.007315207372109095,43.63734641301562,274.9938065991287,7.075490771007026,282.6659047023742,,
