epoch,gumbel_tau,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,boundary_budget_loss,boundary_flatness_loss,boundary_mean,boundary_std,boundary_soft_peak_count,route_entropy,route_entropy_band_loss,self_route_mass,useful_transition_mass,route_disallowed_mass,route_allowed_loss,route_identity_loss,primitive_entropy,primitive_top1_share,primitive_sign_negative_share,primitive_uniform_loss,primitive_diversity_loss,sign_balance_loss,program_cost,memory_write_cost,logit_norm,aux_total,train_seconds,train_samples_per_sec,eval_seconds,eval_samples_per_sec,group_entropy,group_top1_share
1,1.0,2.1342268520991006,2.124704105377197,0.1905,1.736946933746338,0.3375,0.3375,0.17524692857205323,0.0,0.26647015098730725,0.06791611516475678,2.0480586172739663,0.6981365903218587,0.0023353481739759444,0.25224794435501097,0.4163031142552694,0.3314489959081014,0.3314489959081014,0.0,2.208835543314616,0.17308072916666667,0.5642160105705262,0.0,0.06503341102600098,0.008785647804538409,0.46172575441996255,8.193741854349772,0.38982760554552076,0.009522707810004553,47.464324796019355,252.82146225761528,6.953991426998982,287.6046111065033,1.2231843763987222,0.2307421875
2,0.92,1.5422448196411134,1.5341947628657022,0.40891666666666665,1.5206017961502076,0.441,0.441,0.014854393207041237,0.0,0.24177307387193045,0.10461610490083695,1.777197296778361,0.40322269773483277,0.0,0.2473873068491618,0.4681266295115153,0.28448603677749634,0.28448603677749634,0.0,2.09070832824707,0.1772005209128062,0.5164026398658752,0.0,0.09722856394449869,0.0014288296129396562,0.5169878191947938,8.139586264292399,2.2926445948282876,0.008050058434406916,45.22716182199656,265.32728379528146,6.922909140994307,288.895890335598,1.130233238220215,0.2947005209128062
3,0.8464,1.2993448387781779,1.2913695755004884,0.5265833333333333,1.1284222602844238,0.6045,0.6045,0.009529951096357157,0.0,0.25225985916455584,0.13954792376359304,1.988610731124878,0.44240676156679787,0.0,0.24998973385492962,0.4508848890463511,0.2991252906322479,0.2991252906322479,0.0,1.997709682782491,0.16080729174613953,0.4805656854311625,0.0,0.10358028348286946,0.0023856869694039535,0.5501714255015056,7.616455495198568,3.5721844698588052,0.007975264916817347,45.15008573900559,265.7802261853312,7.0821385770104825,282.40057409950333,1.0435453259150187,0.32871354166666666
4,0.778688,1.0633668613433838,1.0554910608927408,0.6240833333333333,0.9550881061553955,0.6675,0.6675,0.013216090252812137,0.0,0.27165691343943277,0.19956706750392914,2.2099820232391356,0.4017248882452647,0.0,0.2515443981488546,0.45066962067286176,0.2977859433492025,0.2977859433492025,0.0,1.938820925394694,0.16942968757947285,0.5051921362876892,0.0,0.11858014678955078,0.0008422867279240715,0.5633534030914307,7.320399054209391,4.320296137491862,0.007875809866935014,44.904295818996616,267.2350112864578,7.194391322991578,277.99433061258037,0.9577567858695983,0.33980989599227907
5,0.7163929600000001,0.8706627014478048,0.8629699052174886,0.6991666666666667,0.7317171959877015,0.7415,0.7415,0.006142406442747112,0.0,0.281271503607432,0.23093102105458577,2.23965229733785,0.39960337392489115,0.0,0.25143360638618467,0.4471572828292847,0.30140912103652956,0.30140912103652956,0.0,1.8689738890329997,0.17469531257947285,0.5224913255373637,0.0,0.13687322107950847,0.001018160238411549,0.5583988904953003,6.866622858683268,5.176387310028076,0.007692803464829922,44.96644788698177,266.8656423598476,6.9891900189977605,286.15619185680646,0.869075156211853,0.35407812507947284
