epoch,gumbel_tau,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,boundary_budget_loss,boundary_flatness_loss,boundary_mean,boundary_std,boundary_soft_peak_count,route_entropy,route_entropy_band_loss,self_route_mass,useful_transition_mass,route_disallowed_mass,route_allowed_loss,route_identity_loss,primitive_entropy,primitive_top1_share,primitive_sign_negative_share,primitive_uniform_loss,primitive_diversity_loss,sign_balance_loss,program_cost,memory_write_cost,logit_norm,aux_total,train_seconds,train_samples_per_sec,eval_seconds,eval_samples_per_sec,edge_gate_cost,output_gate_cost,dead_step_loss,edge_credit_penalty,bad_edge_loss,bad_output_loss
1,1.0,2.3120698235829673,2.3013335469563803,0.11275,2.291275287628174,0.1115,0.1115,0.1619143385059433,0.0,0.2429637947877248,0.0950225377480189,1.7099107418060302,1.3854884265263876,0.061865219612916314,0.2500136432647705,0.25007747864723207,0.49990887808799744,0.49990887808799744,0.0,2.6393824729919433,0.3356718751589457,0.44488599904378257,0.0004793684154283255,0.0751140702565511,0.0055686931113935615,0.20078766012191773,5.452228614807129,0.026722591559092203,0.010573534647623698,47.55808959400747,252.3230033510861,14.945385853003245,133.82056640565784,0.04957890915870666,0.22628598602612812,0.0,0.0,0.0,0.0
2,0.92,2.1844517526626586,2.172293969154358,0.16875,1.7694026174545288,0.33,0.33,0.02116562701905241,0.0,0.2667517872651418,0.13471640145778657,2.06552429262797,1.3856758845647177,0.061958417425553004,0.2500022437175115,0.250036200205485,0.4999615567525228,0.4999615567525228,0.0,2.437705274581909,0.28810677083333336,0.490249862353007,0.0,0.19498489125569662,0.0029467912133302053,0.1660043836037318,3.6844634844462076,0.27759670780102413,0.009067043212552865,48.849765406979714,245.65112851668732,14.536939259967767,137.58054321019668,0.04651745860278606,0.1074777529835701,0.0005439312381280961,0.0029894102358569703,0.00012409603754834583,0.00026333298173267396
3,0.8464,1.5612232449849446,1.544226310412089,0.42425,1.235035449028015,0.537,0.537,0.15760066916545232,0.0,0.28922141981124877,0.1583474609851837,2.3533715635935466,1.3852870559692383,0.06176505519946416,0.2499320755402247,0.25003703220685325,0.5000308896700542,0.5000308896700542,0.0,2.227604615529378,0.22554427091280618,0.48248698314030963,0.0,0.14463032658894856,0.0005888612348901082,0.28094418748219807,5.147631763458252,2.1564376494089763,0.010589327181379001,43.96605772298062,272.937821162158,12.982769471011125,154.05033606009457,0.16965684707959494,0.32312978013356525,0.0007810880341567099,0.006074841861923535,0.0003460756524776419,0.00040607123907345036
4,0.778688,1.1692653466860454,1.1512968462308248,0.5938333333333333,0.9650972957611084,0.6745,0.6745,0.0810819686303536,0.0,0.2713740214506785,0.18259328683217366,2.5089115142822265,1.3846114540100098,0.06142968083421389,0.24990191133817036,0.2500697623093923,0.5000283296902974,0.5000283296902974,0.0,2.14718843015035,0.26231510416666665,0.48751693121592204,0.0,0.1553123868306478,0.00039394257773286273,0.3175077176094055,5.836026206970215,3.5565604089101157,0.010524480188886324,44.3292270990205,270.7017646212278,13.454074066015892,148.6538568307624,0.1954627183675766,0.3718841981887817,0.0007401626373951634,0.007061135945220788,0.0003075724771867196,0.00045493268501013516
5,0.7163929600000001,0.9530488467216491,0.939062074025472,0.6706666666666666,0.8289832315444946,0.71,0.71,0.07646856272220612,0.0,0.27615903433163963,0.20513257058461506,2.597431781768799,1.384424028078715,0.06133679684003194,0.24982343610127766,0.25007616539796196,0.5001003983815511,0.5001003983815511,0.0,2.0790980987548826,0.34603906257947287,0.47658319234848023,0.0,0.17142607498168946,0.0001372366161704862,0.3644981766541799,6.269127142588298,4.601295201619466,0.010779199374218782,44.04257041501114,272.46366156481207,13.664717781997751,146.3623348763815,0.22976627055803936,0.39915934499104816,0.0006504735313355923,0.002776919942970077,0.0,0.0003764823406624297
