epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,write_budget,update_alive,class_read_div,lane_balance,slot_div,route_entropy_band,step_alive_budget,route_offdiag_outside_boundary_cost,route_allowed_mass,route_disallowed_mass,route_allowed_cost,route_uniform_cost,boundary_budget_cost,boundary_flatness,boundary_peak_count,boundary_soft_peak_count,boundary_peak_cost,boundary_flatness_cost,boundary_usefulness_cost,boundary_usefulness_proxy,late_input_read_cost,memory_write_cost,memory_overwrite_cost,memory_write_gate,memory_future_read,memory_head_consumer,memory_consumer_score,detail_attention_mass,detail_head_shortcut_cost,skip_gate_mean,skip_cost,update_collapse_proxy,residual_dominance_proxy,operator_complexity_cost,sequence_nonflat_score,sequence_route_delta_mean,sequence_primitive_delta_mean,sequence_read_delta_mean,logit_norm,pair_update_norm,train_seconds,train_batches_per_sec,train_samples_per_sec,eval_seconds,eval_batches_per_sec,eval_samples_per_sec
1,2.2621431980133058,2.231887716929118,0.15816666666666668,2.14639896774292,0.1875,0.1875,6.775150598453668e-05,0.0,0.7199066438674927,0.0,0.28031990162531534,0.00030886825232998184,9.371237437396e-05,0.4548663989702861,0.6037228592236836,0.39627714188893637,0.39627714188893637,0.03181465513414393,0.23756837248802185,5.6353648503621416e-05,0.0,0.11840100542704264,3.5417772693634033,0.003593250981842478,0.00014400000509340316,0.0,0.07915917070706685,0.4095052839120229,0.016774436255296073,0.4095052839120229,0.2128936999241511,0.2500334624449412,0.46292716296513875,0.24983627331256866,0.0,0.0,0.0,0.10190771820147833,0.10190771820147833,0.0,0.017475112701455752,0.0001699503337343534,0.007138328468427062,0.005862363208085299,0.12259844303131104,0.07690108082691828,0.0,0.0,0.0,2.668020539014833,1.499238833250137,749.6194166250685
2,2.1091292718251546,2.081845506668091,0.2275,2.0140222959518432,0.263,0.263,1.1459265536833148e-05,0.0,0.7191958727836609,0.0,0.20654735958576204,0.0,0.00015148962677145997,0.16709846889972688,0.8473588161468506,0.15264118270079294,0.15264118270079294,0.0,0.2642694227695465,0.00033022179206212363,0.0,0.21223960932095845,3.197144692103068,0.003560487019519011,0.00014400000509340316,0.0,0.04979716486732165,0.41536637584368385,0.018329239085316657,0.41536637584368385,0.22776505430539448,0.25017853554089864,0.477943590482076,0.24970540614922843,0.0,0.0,0.0,0.10148025300105412,0.10148025300105412,0.0,0.0331114404797554,0.0012114153789977232,0.0037231045390168824,0.004824246305972338,0.44834267505009967,0.07673114387194316,0.0,0.0,0.0,2.5488326379854698,1.5693458803013032,784.6729401506516
3,1.9975716594060262,1.9711160786946615,0.275,1.8838266324996948,0.3055,0.3055,9.623365375834207e-05,0.0,0.7174877193768819,0.0,0.18142375234762828,0.0007736812184933418,0.00019298581639304758,0.10622947311401368,0.9090831745465596,0.09091682600975036,0.09091682600975036,0.0,0.2353003205458323,0.0002606826821962992,0.0,0.1093127340078354,3.5751068026224773,0.0035687954754879078,0.00014400000509340316,0.0,0.0417326791981856,0.4206816447575887,0.01979577583571275,0.4206816447575887,0.22303433056672414,0.24973482982317607,0.47276916074752806,0.2509682884216309,0.0,0.0,0.0,0.10113148117065429,0.10113148117065429,0.0,0.05013774948318799,0.0026911121606826784,0.0075052333573500316,0.004640581461290518,0.7121885684331258,0.07850649712483088,0.0,0.0,0.0,2.525907397008268,1.5835893290219882,791.794664510994
4,1.9055151103337606,1.8785317846934,0.31233333333333335,1.7957253618240356,0.3375,0.3375,0.0006723941344146927,0.0,0.7133210501670837,0.0,0.16063044321537018,0.0015773332681101237,0.00025280534103512764,0.14937858009338378,0.8779471844037374,0.12205281941095988,0.12205281941095988,0.0,0.2143806486527125,0.00010705367724100749,0.0,0.06556039154529572,3.7421070925394693,0.003587170715133349,0.00014400000509340316,0.0,0.039202514330546064,0.43423958921432493,0.023810885101556777,0.43423958921432493,0.21286038557688394,0.24845799616972605,0.46131838178634643,0.2545625435511271,0.0,0.0,0.0,0.1009012034535408,0.1009012034535408,0.0,0.06381913546721141,0.007607986981670062,0.015598482012748719,0.005435463326672713,1.0174768524169922,0.0854630296031634,0.0,0.0,0.0,2.533027629018761,1.5791379273464583,789.5689636732292
5,1.8043985157012938,1.7769578682581584,0.355,1.7333384380340575,0.3675,0.3675,0.0021511120355377595,0.0,0.7092192301750183,0.0,0.14362868241469065,0.0008003780295681887,0.0003244320125474284,0.1848496832847595,0.8432822311719259,0.15671776803334553,0.15671776803334553,0.0,0.19379520972569783,0.0003217785557111104,0.0,0.04013152499993642,3.8411375770568847,0.003561502678319812,0.00014400000509340316,0.0,0.038383709649244944,0.45309446136156717,0.030015608896811805,0.45309446136156717,0.2087851564089457,0.2470345719655355,0.45581973059972125,0.2587991282145182,0.0,0.0,0.0,0.1007356164654096,0.1007356164654096,0.0,0.07747883456945419,0.013000412990649541,0.022163626109560332,0.006508041127274434,1.2703141740163166,0.09540759432315826,0.0,0.0,0.0,2.577494673023466,1.551894574939276,775.947287469638
6,1.6977452096939087,1.6699429556528727,0.3905,1.5748940677642822,0.428,0.428,0.006299635072549184,0.0,0.7030054823557536,0.0,0.14071680108706155,0.000523518484813394,0.00041996862894545,0.19306757009029388,0.8345382143656412,0.16546178551514942,0.16546178551514942,0.0,0.16453137318293254,0.0006693166097005209,0.0,0.019848942240079243,3.9210240109761556,0.003520173413058122,0.00014400000509340316,0.0,0.039257274478673936,0.4847345503171285,0.04207348168889682,0.4847345503171285,0.2079124809106191,0.24550752488772074,0.4534200080235799,0.2637566792170207,0.0,0.0,0.0,0.10046103515227636,0.10046103515227636,0.0,0.10585266824563344,0.019494729946057002,0.027213608220219614,0.008077827493349711,1.7524952170054118,0.10520096844434738,0.0,0.0,0.0,2.5276473819976673,1.5824992158671647,791.2496079335823
7,1.6463588720957438,1.6182169653574625,0.40475,1.5086190586090087,0.457,0.457,0.015345227797826131,0.0,0.6975157623291015,0.0,0.1274442651073138,0.0006045305717043637,0.0005374175650067627,0.19630769793192546,0.8350158874193827,0.1649841143290202,0.1649841143290202,0.0,0.12859230760733287,0.0012539804081122081,0.0,0.008101889512191216,3.9676618531545005,0.0034512420346339543,0.00014400000509340316,0.0,0.04231290158629417,0.528843113899231,0.06212003405888875,0.528843113899231,0.20898772247632344,0.244227197209994,0.45321492131551105,0.2673407014211019,0.0,0.0,0.0,0.10018173493941625,0.10018173493941625,0.0,0.14620213651657105,0.029006847088535626,0.0297206205924352,0.01033799325923125,2.0434302762349446,0.11749158616860708,0.0,0.0,0.0,2.5392853080120403,1.5752463842401099,787.6231921200549
