epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,write_budget,update_alive,class_read_div,lane_balance,slot_div,route_entropy_band,step_alive_budget,route_offdiag_outside_boundary_cost,boundary_budget_cost,boundary_flatness,boundary_peak_count,late_input_read_cost,memory_write_cost,memory_overwrite_cost,memory_write_gate,memory_future_read,memory_head_consumer,memory_consumer_score,detail_attention_mass,detail_head_shortcut_cost,skip_gate_mean,skip_cost,residual_dominance_proxy,operator_complexity_cost,sequence_nonflat_score,sequence_route_delta_mean,sequence_primitive_delta_mean,sequence_read_delta_mean,logit_norm,pair_update_norm
1,2.1641041005452473,2.131300007502238,0.19133333333333333,2.0050356159210203,0.249,0.249,4.269820822325225e-05,0.0,0.7199102349281311,0.0,0.2884461743036906,0.0009652537200599909,0.00021779088443145156,0.5456070884068807,0.22614673097928364,6.074632970391273e-06,0.0,0.09623787142833073,0.4110587749481201,0.01717704961200555,0.4110587749481201,0.20700829192002615,0.2499769265651703,0.45698521661758423,0.2502781726519267,0.0,0.0,0.0,0.10171219829718271,0.0,0.015339854240417481,0.0002777359944302589,0.007536178324371577,0.0016596137825399637,0.36616574387749035,0.04586347272992134
2,1.9626781628926595,1.9300003843307496,0.2786666666666667,1.908221438407898,0.2835,0.2835,1.7403710434640135e-05,0.0,0.7142982103029887,0.0,0.163124072154363,0.0008566213872594138,0.00031794797551507753,0.5365100762049357,0.23124686912695566,3.8683149866604555e-05,0.0,0.09269755659500759,0.4106423036257426,0.017067418798804284,0.4106423036257426,0.2076207393805186,0.24917343831062316,0.45679417928059896,0.25311383612950644,0.0,0.0,0.0,0.1013707003792127,0.0,0.018732325245936713,0.0007701412861545881,0.0073580740590890245,0.002165036931633949,0.9604792753855388,0.05531391283869743
3,1.81446084690094,1.782159394900004,0.3393333333333333,1.779633451461792,0.3385,0.3385,6.051886531167838e-06,0.0,0.6981980298360189,0.0,0.12120364888509115,0.0007572865613425772,0.0004099886949794988,0.5276256523132324,0.23745820021629332,0.00011786404438316822,0.0,0.08931712734699249,0.41041143679618836,0.017007164761424064,0.41041143679618836,0.20826551330089568,0.24680015325546265,0.4550656649271647,0.2622476543585459,0.0,0.0,0.0,0.10125191259384156,0.0,0.020889500260353088,0.0014606519627074401,0.007569625151654084,0.0027213314156979323,1.391381092707316,0.056427188664674756
4,1.6893504066467284,1.6571591170628865,0.383,1.5772040576934814,0.405,0.405,5.610834110806687e-07,0.0,0.6869484747250875,0.0,0.10285866334040959,0.0006717649004422128,0.0005419973799337943,0.5187756012280782,0.24452123741308848,0.00021692620357498525,0.0,0.08601028927167256,0.41097071194648743,0.017153395329912502,0.41097071194648743,0.20922431059678395,0.2454192679723104,0.45464358043670655,0.27045896379152934,0.0,0.0,0.0,0.10108706194162369,0.0,0.025665718590219815,0.0022487145978957413,0.007947910885016124,0.0033340038303285835,1.9127117805480958,0.05851296508312225
5,1.5646107740402222,1.532254347483317,0.43375,1.5401602354049682,0.407,0.407,8.555813719188639e-06,0.0,0.6810160519282024,0.0,0.09911259305477142,0.0006013942576634388,0.0007233447985102733,0.5098732674916585,0.25209417136510215,0.0004181306380778551,0.0,0.0828941478729248,0.41216734298070273,0.01746829671661059,0.41216734298070273,0.21034934254487356,0.2443038792212804,0.45465322144826253,0.2782092372576396,0.0,0.0,0.0,0.10088938579956691,0.0,0.03176564050714175,0.0030776858869940044,0.008767527418831984,0.003922863658517599,2.5459702625274656,0.06730023602644603
