epoch,gumbel_tau,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,boundary_budget_loss,boundary_flatness_loss,boundary_mean,boundary_std,boundary_soft_peak_count,route_entropy,route_entropy_band_loss,self_route_mass,useful_transition_mass,route_disallowed_mass,route_allowed_loss,route_identity_loss,primitive_entropy,primitive_top1_share,primitive_sign_negative_share,primitive_uniform_loss,primitive_diversity_loss,sign_balance_loss,program_cost,memory_write_cost,logit_norm,aux_total,train_seconds,train_samples_per_sec,eval_seconds,eval_samples_per_sec,group_entropy,group_top1_share
1,1.0,2.1501972516377768,2.1407266085942585,0.18875,1.753746379852295,0.3385,0.3385,0.1756330953634703,0.0,0.2771999554634094,0.0731129380663236,2.279747312863668,0.6574588991800944,0.0018925490354498226,0.2499039675394694,0.4257688471476237,0.3243271856307983,0.3243271856307983,0.0,2.2132088502248126,0.15563541674613954,0.5539762771924337,0.0,0.05455098215738932,0.01151220687571913,0.3883735044002533,8.37492648824056,0.37180385051170983,0.009470632726947467,46.4653617409931,258.25689396093196,7.291599660005886,274.28823485330867,1.2202296409606934,0.23347395837306975
2,0.92,1.569695788383484,1.5617375701268514,0.4028333333333333,1.3324829139709473,0.4875,0.4875,0.009769689361908604,0.0,0.29455270258585614,0.10313759740193684,2.31621986579895,0.3724700963497162,0.0,0.23866452217102052,0.4677834451198578,0.2935521562099457,0.2935521562099457,0.0,2.1046912720998128,0.1653802084128062,0.4957229514122009,0.0,0.06739153544108073,0.0017788296095601766,0.44313045263290407,7.994997034708659,2.13490971883138,0.007958218873788912,43.930949728004634,273.15594300367167,7.012676947982982,285.1977946275208,1.1247302932739258,0.2838072916666667
3,0.8464,1.29527112865448,1.2874051129023234,0.5228333333333334,1.1908715181350709,0.5615,0.5615,0.019034796260245457,0.0,0.2986317896048228,0.09260563216606776,2.5287457593282063,0.3510198136965434,0.0,0.24167842149734498,0.4699810617764791,0.28834076182047524,0.28834076182047524,0.0,1.9973629252115885,0.17196875007947285,0.4717815426190694,0.0,0.10488448079427083,0.0009917150271661654,0.5116133176485698,7.577587946573893,3.636276818593343,0.007866022172073522,44.38876281800913,270.3386902040765,6.787132131983526,294.67527095505415,1.0316884063084921,0.2980781251589457
4,0.778688,1.0774987198511758,1.0694704961776733,0.6219166666666667,0.888959189414978,0.691,0.691,0.040845139099285006,0.0,0.32585196248690285,0.11435400613149008,3.04587656211853,0.3599651902516683,0.0,0.24391675957043965,0.4659950088659922,0.2900881761709849,0.2900881761709849,0.0,1.9179005095163981,0.19164062503973642,0.5051621856689453,0.0,0.12933487701416016,0.0009449333959810247,0.5474032805760701,7.451102703094483,4.3216491813659665,0.008028213446338972,44.2422912309994,271.23369215543516,6.576442883990239,304.11577128858227,0.9399155441919963,0.2994036459128062
5,0.7163929600000001,0.8783439954121908,0.870718931833903,0.6959166666666666,0.7839303817749024,0.722,0.722,0.010499873304235128,0.0,0.29750657987594603,0.15500521572430928,2.56382862218221,0.3564573498566945,0.0,0.24392465070883432,0.46789864492416383,0.2881767050425212,0.2881767050425212,0.0,1.8054087282816569,0.2260546875,0.530035309155782,0.0,0.15247762870788575,0.0016089449047188586,0.5620316486358643,6.930717412312825,5.101422723134359,0.007625072916348776,44.61175824300153,268.9873807401998,6.902794517984148,289.73772792878503,0.845145012696584,0.29507031265894573
