epoch,gumbel_tau,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,boundary_budget_loss,boundary_flatness_loss,boundary_mean,boundary_std,boundary_soft_peak_count,route_entropy,route_entropy_band_loss,self_route_mass,useful_transition_mass,route_disallowed_mass,route_allowed_loss,route_identity_loss,primitive_entropy,primitive_top1_share,primitive_sign_negative_share,primitive_uniform_loss,primitive_diversity_loss,sign_balance_loss,program_cost,memory_write_cost,logit_norm,aux_total,train_seconds,train_samples_per_sec,eval_seconds,eval_samples_per_sec
1,1.0,2.0429722181955974,2.0330581038792928,0.22816666666666666,1.6175009670257567,0.405,0.405,0.020959119267373656,1.3232756646175403e-06,0.2593208802541097,0.09834025909503301,2.09070937983195,1.153020307858785,0.012995382309580843,0.2498641471862793,0.3217296942869822,0.4284059920310974,0.4284059920310974,0.0,1.3076103197733562,0.26103645837306977,0.4266080730756124,0.0,0.0738534075419108,0.024873779128228003,0.5316663678487142,8.146524096171062,0.5863322706619899,0.00991412233064572,31.850487871997757,376.76031991177547,3.320045960979769,602.4012991102647
2,0.92,1.5535747299194336,1.54472479057312,0.4093333333333333,1.2645972023010255,0.528,0.528,0.05197841970374187,0.0,0.20273700177669526,0.14622196300824483,1.6806961161295573,0.6875492525100708,0.0,0.24860814015070598,0.41395830233891806,0.33743356927235924,0.33743356927235924,0.0,1.2086682249704996,0.26816145849227907,0.40416959635416666,0.0,0.08683375549316406,0.035260924021402996,0.555146419207255,7.957907548268636,2.3421857872009277,0.008849950840075812,29.000272881996352,413.78920980601237,3.0726377830142155,650.9065308824092
3,0.8464,1.2502014417648315,1.2416875009536743,0.537,1.0126817817687987,0.636,0.636,0.06741129920383294,0.0,0.20807941850026448,0.14128815877437592,1.5678177213668822,0.5105726610819499,0.0,0.2483069906234741,0.4379876023133596,0.31370529492696125,0.31370529492696125,0.0,1.0931038932800292,0.3325833334128062,0.36082812515894575,0.0,0.14259920501708984,0.06217365251978239,0.5859238878885905,7.33462476348877,3.7362795270284015,0.008513940699398518,29.460427662997972,407.3260625157825,3.0311802540090866,659.8089959693979
4,0.778688,1.009898444334666,1.0017218271891275,0.64875,0.8023720655441284,0.7195,0.7195,0.025522278759628533,0.0,0.25606671094894407,0.1368651104370753,1.9003803265889485,0.5070510905583699,0.0,0.24676480201880138,0.43863720989227295,0.3145980124473572,0.3145980124473572,0.0,0.9796695588429769,0.34619531257947284,0.37254720067977903,0.0,0.1776139087677002,0.056005729059378305,0.6360354948043824,6.941147682189942,4.847778105417888,0.008176613007982572,29.07549506801297,412.71868189792735,3.0707343660178594,651.3100000224402
5,0.7163929600000001,0.8126218767166138,0.8046813089052837,0.7191666666666666,0.6643000884056092,0.7615,0.7615,0.012386331356596201,0.0,0.2641548620859782,0.13987932693958283,2.006948324839274,0.4531305324236552,0.0,0.2475545119444529,0.43904731607437136,0.31339807613690696,0.31339807613690696,0.0,0.8908178666432699,0.3307890626589457,0.35427180989583335,0.0,0.18066030184427898,0.061005811711152394,0.6359756437937418,6.6099868024190265,6.016548938751221,0.007940568257123233,29.699572426005034,404.0462208638655,3.143901645002188,636.1522165234937
