epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,write_budget,update_alive,class_read_div,lane_balance,slot_div,route_entropy_band,step_alive_budget,route_offdiag_outside_boundary_cost,route_allowed_mass,route_disallowed_mass,route_allowed_cost,route_uniform_cost,boundary_budget_cost,boundary_flatness,boundary_peak_count,boundary_soft_peak_count,boundary_peak_cost,boundary_flatness_cost,boundary_usefulness_cost,boundary_usefulness_proxy,late_input_read_cost,memory_write_cost,memory_overwrite_cost,memory_write_gate,memory_future_read,memory_head_consumer,memory_consumer_score,detail_attention_mass,detail_head_shortcut_cost,skip_gate_mean,skip_cost,update_collapse_proxy,residual_dominance_proxy,operator_complexity_cost,sequence_nonflat_score,sequence_route_delta_mean,sequence_primitive_delta_mean,sequence_read_delta_mean,logit_norm,pair_update_norm,train_seconds,train_batches_per_sec,train_samples_per_sec,eval_seconds,eval_batches_per_sec,eval_samples_per_sec
1,2.2054796352386474,2.1749050569534303,0.1755,2.0699691791534423,0.2195,0.2195,3.969821106147719e-05,0.0,0.7199246625900269,0.0,0.33468316674232484,0.0002661480732642758,0.0002073809354333207,0.45096221470832826,0.6048685402870179,0.3951315231323242,0.3951315231323242,0.030304141459055245,0.2441820662021637,0.0013004052096775923,0.0,0.8547883095741272,1.4289374364614487,0.003447152405977249,0.00014400000509340316,0.0,0.08958482325077056,0.41231960892677305,0.01750918272137642,0.41231960892677305,0.21071113109588624,0.2501279957294464,0.46083912801742555,0.24986583399772644,0.0,0.0,0.0,0.101824309527874,0.101824309527874,0.0,0.014459226965904235,0.0006506105265580117,0.009248020894825458,0.0013741005714982748,0.2645333729982376,0.050831622660160065,0.0,0.0,0.0,4.715061490016524,0.8483452460735528,424.1726230367764
2,2.094715702056885,2.0655928535461427,0.2185,1.9994739036560059,0.239,0.239,8.899951691446973e-06,0.0,0.7178212375640869,0.0,0.21675484442710877,8.618395781934396e-05,0.00025184627692215146,0.2686550827026367,0.7469392137527466,0.2530608439445496,0.2530608439445496,2.370607216312237e-05,0.3071361870765686,0.006716459654271602,0.0,3.1859795951843264,0.12960352055355906,0.0028431360237300396,0.00014400000509340316,0.0,0.0732413432598114,0.41754808855056763,0.018926441445946695,0.41754808855056763,0.20430926585197448,0.25045840120315555,0.4547676680088043,0.24967914032936095,0.0,0.0,0.0,0.10163633668422699,0.10163633668422699,0.0,0.02012944668531418,0.0019137876387685538,0.010064938567578792,0.001559931275434792,0.7021811680793763,0.048890820056200025,0.0,0.0,0.0,4.810679293994326,0.8314834050554187,415.7417025277094
3,1.9569639186859131,1.928621524810791,0.27441666666666664,1.8750330429077149,0.2895,0.2895,0.0008283717904123477,0.0,0.7059834990501404,0.0,0.12466045808792114,0.00021996505826245993,0.0003092264593578875,0.23042167401313782,0.7721290769577026,0.22787097334861756,0.22787097334861756,0.0,0.32764517760276796,0.008186009086668491,0.056,4.396161636352539,0.4273501962106675,0.002685907023027539,0.00014400000509340316,0.0,0.06150448608398437,0.4413467993736267,0.026200085073709488,0.4413467993736267,0.18265905213356018,0.2500972821712494,0.43275633549690246,0.253183620929718,0.0,0.0,0.0,0.1015677165389061,0.1015677165389061,0.0,0.021057665959000587,0.001952349778264761,0.009740677073597909,0.0019049041140824557,0.9274077339172363,0.04481906312704086,0.0,0.0,0.0,4.719662085000891,0.8475183027852818,423.75915139264094
4,1.8129997510910034,1.7840081148147584,0.33675,1.7739120721817017,0.325,0.325,0.009935682132840157,0.0,0.6913004560470581,0.0,0.10050742471218109,9.822143096243962e-05,0.00039915143558755516,0.2239972035884857,0.7369958515167236,0.26300420784950257,0.26300420784950257,0.0,0.42349622774124146,0.016609804920852185,10.896,9.399154930114745,33.66555255889892,0.0019062868347391486,0.00014400000509340316,0.0,0.05753688445687294,0.5117154412269592,0.054379559218883516,0.5117154412269592,0.1742767413854599,0.2502165722846985,0.42449331474304197,0.25721887278556826,0.0,0.0,0.0,0.1014633857011795,0.1014633857011795,0.0,0.022844499558210375,0.0022565860841423273,0.01083339573442936,0.0020973903443664314,1.461263708114624,0.04655848035216331,0.0,0.0,0.0,3.601162740000291,1.110752356612375,555.3761783061874
5,1.704275318145752,1.674615984916687,0.38,1.6222425441741943,0.377,0.377,0.0318707649409771,0.0,0.6758352980613709,0.0,0.09222990655899048,9.439047751948238e-05,0.0005101680178195238,0.12940136075019837,0.712053915977478,0.2879461491107941,0.2879461491107941,0.0,0.6942064657211303,0.030861377775669097,12.0,11.981398803710938,63.70377087402344,0.0008679858660325408,0.00014400000509340316,0.0,0.056193800806999206,0.5937688536643982,0.09885208863019944,0.5937688536643982,0.16959277188777924,0.25014263367652895,0.41973540449142455,0.2596786253452301,0.0,0.0,0.0,0.10131338983774185,0.10131338983774185,0.0,0.03006203180551529,0.003307002890855074,0.015704804658889772,0.002380947697907686,1.965242883682251,0.04823830938339233,0.0,0.0,0.0,3.5983468299964443,1.111621583182395,555.8107915911976
6,1.6218606700897218,1.591830322265625,0.40775,1.5194901971817016,0.4175,0.4175,0.04870420718193054,0.0,0.6663012371063233,0.0,0.08099092781543732,6.335637296433561e-05,0.0006005479679442943,0.04894483309984207,0.6995035314559936,0.300496533870697,0.300496533870697,0.0,0.8882692070007324,0.02475291256606579,12.0,11.999965621948242,63.999449951171876,0.001281830603722483,0.00014400000509340316,0.0,0.056048142939805985,0.6369526209831238,0.12758921909332274,0.6369526209831238,0.16376830661296846,0.25000363469123843,0.41377194213867186,0.26233700919151304,0.0,0.0,0.0,0.10119927668571473,0.10119927668571473,0.0,0.03609414693713188,0.004162939671427011,0.019929009079933165,0.002764129655435681,2.3777273387908937,0.048269953191280364,0.0,0.0,0.0,3.6434358910191804,1.097864795661624,548.9323978308121
7,1.5437523012161254,1.513501609802246,0.4410833333333333,1.494236605644226,0.436,0.436,0.05317431423068047,0.0,0.6583134255409241,0.0,0.07927497965097427,4.144515300868079e-05,0.0006795324753038585,0.016541654758155347,0.6840956168174743,0.31590444564819337,0.31590444564819337,0.0,0.9640529947280884,0.012865881249308587,12.0,11.999997009277344,63.9999521484375,0.002263237327337265,0.00014400000509340316,0.0,0.057796334624290464,0.646788031578064,0.13460371482372285,0.646788031578064,0.15686274313926696,0.24925564217567445,0.4061183860301971,0.26521656918525693,0.0,0.0,0.0,0.10112346774339676,0.10112346774339676,0.0,0.04185306152701378,0.0047224476933479306,0.024344299346208572,0.0031534615699201824,2.9214094867706297,0.051476850479841234,0.0,0.0,0.0,3.7117436619882938,1.0776606264499673,538.8303132249836
