epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,write_budget,update_alive,class_read_div,lane_balance,slot_div,route_entropy_band,step_alive_budget,route_offdiag_outside_boundary_cost,route_allowed_mass,route_disallowed_mass,route_allowed_cost,route_uniform_cost,boundary_budget_cost,boundary_flatness,boundary_peak_count,boundary_soft_peak_count,boundary_peak_cost,boundary_flatness_cost,boundary_usefulness_cost,boundary_usefulness_proxy,late_input_read_cost,memory_write_cost,memory_overwrite_cost,memory_write_gate,memory_future_read,memory_head_consumer,memory_consumer_score,detail_attention_mass,detail_head_shortcut_cost,skip_gate_mean,skip_cost,update_collapse_proxy,residual_dominance_proxy,operator_complexity_cost,sequence_nonflat_score,sequence_route_delta_mean,sequence_primitive_delta_mean,sequence_read_delta_mean,logit_norm,pair_update_norm,train_seconds,train_batches_per_sec,train_samples_per_sec,eval_seconds,eval_batches_per_sec,eval_samples_per_sec
1,2.220646717071533,2.18948818397522,0.17125,2.066845202445984,0.2255,0.2255,3.9468000497436154e-05,0.0,0.7199830999374389,0.0,0.33558108234405515,0.0004474093477459853,0.00022968267439864575,0.5004263768196106,0.5586963791847229,0.4413036732673645,0.4413036732673645,0.045709489181637766,0.24495992255210877,0.0012060890089323948,0.0,0.8827244415283203,1.408430531065911,0.0034578523654490707,0.0001431719292886555,3.4689052309744284e-05,0.08949952220916749,0.4121546041965485,0.017465006828308104,0.4121546041965485,0.21173794174194335,0.250043212890625,0.4617811541557312,0.24995625042915345,0.0,0.0,0.0,0.10181750625371933,0.10181750625371933,0.0,0.014370192915201188,0.0003742825640511001,0.008657518722116947,0.0013495371313765644,0.24021040496230125,0.05024186429381371,0.0,0.0,0.0,3.567318516987143,1.1212903980826157,560.6451990413078
2,2.0721844425201414,2.0421346302032473,0.23158333333333334,2.0335365419387816,0.2415,0.2415,1.5100011723006901e-05,0.0,0.7193746705055237,0.0,0.22103311109542848,6.039197281401121e-07,0.0004142324877902865,0.33485162591934203,0.6553996281623841,0.3446004362106323,0.3446004362106323,0.010011716786772012,0.35229814529418946,0.008706618975847959,5.904,6.095903823852539,10.774094181279652,0.0026420962549746035,0.0001386871699942276,0.0002289595563252078,0.0748800699710846,0.41258618330955504,0.01757960206270218,0.41258618330955504,0.21098275196552277,0.25009852266311644,0.46108127641677854,0.24991951394081116,0.0,0.0,0.0,0.10165578329563141,0.10165578329563141,0.0,0.01884672099351883,0.0015205558175221086,0.008721697092056275,0.0013873764984309674,0.554266640663147,0.053752044588327406,0.0,0.0,0.0,3.4622653519909363,1.1553129507245439,577.6564753622719
3,1.9169178400039673,1.887706865310669,0.3016666666666667,1.9212993640899658,0.2885,0.2885,3.459405081900968e-05,0.0,0.7099797477722168,0.0,0.151702388048172,7.358019960520324e-05,0.0015667790370061995,0.21158457481861115,0.6660919270515442,0.33390814304351807,0.33390814304351807,0.002223942187614739,0.5665736465454102,0.026629368752241134,12.0,11.73213875579834,59.92746389770508,0.0011787964603863657,9.866325627081096e-05,0.0021255218824371694,0.06470637568831444,0.4181320226192474,0.019096769645810127,0.4181320226192474,0.1982944084405899,0.24981959712505342,0.4481140067577362,0.2521045863628387,0.0,0.0,0.0,0.1015783371925354,0.1015783371925354,0.0,0.020540817886590956,0.001872670522890985,0.009063602164387704,0.0016118175303563476,0.9693339567184448,0.053898238897323605,0.0,0.0,0.0,3.5338310670049395,1.1319160209291377,565.9580104645688
4,1.7835762586593629,1.7550775909423828,0.35141666666666665,1.7183677015304566,0.3545,0.3545,0.0006170627276878804,0.0,0.6908694386482239,0.0,0.11369929748773575,0.00011144287587376312,0.006554451335221529,0.09399279952049255,0.6407653517723083,0.3592347049713135,0.3592347049713135,0.00588503205217421,0.818609622001648,0.032546882525086404,12.0,11.999555839538575,63.99289404296875,0.0007898109555244446,6.259115465218201e-05,0.0042122391499578955,0.06013656228780746,0.43634415745735167,0.024504174828529356,0.43634415745735167,0.1895959267616272,0.2498686487674713,0.4394645733833313,0.2568590087890625,0.0,0.0,0.0,0.10144646722078324,0.10144646722078324,0.0,0.02132618497312069,0.002135980352759361,0.008762474596500397,0.0018984586130827666,1.3359005060195923,0.055021068036556244,0.0,0.0,0.0,3.8133358279883396,1.0489503627353303,524.4751813676652
5,1.6739449987411499,1.6453879537582397,0.3909166666666667,1.5696541709899903,0.438,0.438,0.0028528414368629456,0.0,0.6804228754043579,0.0,0.09823682999610901,7.977096340619028e-05,0.018556198239326478,0.03152320754528046,0.6189801931381226,0.3810198616981506,0.3810198616981506,0.011499846830964089,0.9428660626411438,0.015984733551740647,12.0,11.999994834899903,63.999917358398434,0.001955779170617461,9.584785404149443e-05,0.0022303204946219923,0.059146894633769986,0.4649061694145203,0.0342320528626442,0.4649061694145203,0.18522987699508667,0.2503344223499298,0.43556429958343507,0.2596396381855011,0.0,0.0,0.0,0.10135957419872284,0.10135957419872284,0.0,0.023020246163010596,0.0023791263196617364,0.008773368000984192,0.002218756476417184,1.876143925666809,0.0577824695110321,0.0,0.0,0.0,3.513801149005303,1.1383683453835547,569.1841726917773
6,1.5863592863082885,1.5574977960586547,0.423,1.5234585914611816,0.4365,0.438,0.006072194959968328,0.0,0.6751829543113709,0.0,0.08794054782390595,5.442805681377649e-05,0.033954619318246844,0.013311693258583546,0.6068790531158448,0.39312100982666015,0.39312100982666015,0.014488646224141121,0.9765524950027465,0.007477965157479048,12.0,11.999997970581054,63.999967529296875,0.0027685763724148273,0.00012254328501876444,0.0009450594450463541,0.05821916079521179,0.4885850410461426,0.04354973939061165,0.4885850410461426,0.18009939932823182,0.2509538898468018,0.43105328965187073,0.26214467668533326,0.0,0.0,0.0,0.10127537155151367,0.10127537155151367,0.0,0.024219825580716132,0.002849630519747734,0.008627650454640388,0.002705356040969491,2.234345592498779,0.06100412052869797,0.0,0.0,0.0,3.5408740529965144,1.129664580025077,564.8322900125386
7,1.5386840629577636,1.5096321182250976,0.4415833333333333,1.454379768371582,0.475,0.475,0.009267760962247849,0.0,0.6667402186393738,0.0,0.07967324328422547,3.2559905055677515e-05,0.04742279177904129,0.0063799407184124,0.6005514993667602,0.3994485628604889,0.3994485628604889,0.015228614948689937,0.9889268736839294,0.004127797001041472,12.0,11.999998092651367,63.999969482421875,0.0031271942369639873,0.00013558663299772887,0.0003663694734568708,0.05798835349082947,0.5061309537887573,0.051215242117643354,0.5061309537887573,0.17656008410453797,0.2512714364528656,0.4278315200805664,0.26504115200042727,0.0,0.0,0.0,0.10119933021068574,0.10119933021068574,0.0,0.025550134778022766,0.002988311229273677,0.009020381733775139,0.0031088771913200617,2.5415678482055664,0.062235297083854675,0.0,0.0,0.0,3.45785822198377,1.1567854270512004,578.3927135256002
