epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,write_budget,update_alive,class_read_div,lane_balance,slot_div,route_entropy_band,step_alive_budget,route_offdiag_outside_boundary_cost,route_allowed_mass,route_disallowed_mass,route_allowed_cost,route_uniform_cost,boundary_budget_cost,boundary_flatness,boundary_peak_count,boundary_soft_peak_count,boundary_peak_cost,boundary_flatness_cost,boundary_usefulness_cost,boundary_usefulness_proxy,late_input_read_cost,memory_write_cost,memory_overwrite_cost,memory_write_gate,memory_future_read,memory_head_consumer,memory_consumer_score,detail_attention_mass,detail_head_shortcut_cost,skip_gate_mean,skip_cost,update_collapse_proxy,residual_dominance_proxy,operator_complexity_cost,sequence_nonflat_score,sequence_route_delta_mean,sequence_primitive_delta_mean,sequence_read_delta_mean,logit_norm,pair_update_norm,train_seconds,train_batches_per_sec,train_samples_per_sec,eval_seconds,eval_batches_per_sec,eval_samples_per_sec
1,2.213132266998291,2.182140971183777,0.17216666666666666,2.061574562072754,0.2155,0.2155,2.0576290388490293e-05,0.0,0.7198777875900269,0.0,0.3183643869161606,0.00045076392812188715,0.00022184873674996198,0.4782673721313477,0.5566050143241882,0.44339503908157346,0.44339503908157346,0.04632919025421143,0.2800000147819519,3.153733089789057e-08,0.0,1.7765665702819824,0.049922497242689136,0.0035999960005283355,0.00014400000509340316,0.0,0.08880781543254852,0.41525020051002504,0.018298243924975394,0.41525020051002504,0.21161261129379272,0.2499685570001602,0.46158116626739504,0.250077020406723,0.0,0.0,0.0,0.10177320897579194,0.10177320897579194,0.0,0.01438872081041336,0.00044685795379336926,0.009358595050871372,0.0012996757226064802,0.23791591256856917,0.051478553801774976,0.0,0.0,0.0,3.6080483029945754,1.1086326080169482,554.316304008474
2,2.0225053691864012,1.992140613555908,0.25458333333333333,1.971707597732544,0.261,0.261,0.00023678841271612328,0.0,0.7145185794830322,0.0,0.15630758893489838,0.00011952714988728986,0.0002860327914822847,0.3955587158203125,0.630353286743164,0.3696467661857605,0.3696467661857605,0.01644249277189374,0.2800000205039978,3.1770069881531525e-08,0.0,1.776566650390625,0.04992246162891388,0.0035999959595501424,0.00014400000509340316,0.0,0.07018621575832366,0.4305926778316498,0.022720476552844048,0.4305926778316498,0.21637159490585328,0.2499495247602463,0.46632112073898313,0.25166069078445436,0.0,0.0,0.0,0.1015565447807312,0.1015565447807312,0.0,0.020108978256583213,0.0020003278292715547,0.011050461158156395,0.0012993882801383733,0.7373447880744934,0.056054152995347974,0.0,0.0,0.0,3.644305149005959,1.0976029274307786,548.8014637153892
3,1.8810460968017577,1.8510283327102661,0.31383333333333335,1.8315132751464844,0.319,0.319,0.0019718690207228065,0.0,0.699533576965332,0.0,0.09871865594387054,0.00019621600466780364,0.00035735502000898124,0.384360294342041,0.6374943542480469,0.36250570392608644,0.36250570392608644,0.010274213202297688,0.28000001692771914,3.232425709143172e-08,0.0,1.7765666046142579,0.04992248201370239,0.003599995903670788,0.00014400000509340316,0.0,0.06474502903223038,0.4578207340240478,0.03171682107448578,0.4578207340240478,0.21348130118846892,0.2489625836610794,0.4624438853263855,0.2559182987213135,0.0,0.0,0.0,0.10148898822069168,0.10148898822069168,0.0,0.02398644870519638,0.0027326852697879076,0.012442861400544644,0.0016166180800646543,1.1139399490356445,0.05356527727842331,0.0,0.0,0.0,3.488143338006921,1.146741865913557,573.3709329567786
4,1.7770677814483642,1.7466671390533448,0.3515,1.678680504798889,0.368,0.368,0.006740345079451799,0.0,0.6902495198249817,0.0,0.08721975755691529,0.0001489915259880945,0.00044248046493157743,0.39166299200057986,0.6285699915885925,0.37143007016181945,0.37143007016181945,0.012633380725979805,0.2800000190734863,3.031429551469955e-08,0.0,1.7765666790008545,0.049922448873519897,0.0035999961346387865,0.00014400000509340316,0.0,0.06552622586488724,0.4930222029685974,0.04552300518751144,0.4930222029685974,0.2062825734615326,0.24796111845970153,0.45424369168281553,0.26017433500289916,0.0,0.0,0.0,0.10137813079357147,0.10137813079357147,0.0,0.027807418495416642,0.0025719823148101567,0.014412625476717948,0.002022121926769614,1.5865587692260743,0.05166559585928917,0.0,0.0,0.0,3.7027391940064263,1.0802813242895275,540.1406621447637
5,1.6560225124359131,1.625286519050598,0.4023333333333333,1.5260852365493773,0.4415,0.4415,0.01446920269727707,0.0,0.6785220174789429,0.0,0.08116728615760803,9.23455779266078e-05,0.0005336348130367696,0.39084361934661865,0.6275041437149048,0.3724959268569946,0.3724959268569946,0.011754161573946476,0.280000027179718,3.083442159379501e-08,0.0,1.7765668001174926,0.04992239490151405,0.0035999960526824,0.00014400000509340316,0.0,0.0693072384595871,0.5301377987861633,0.06269232636690139,0.5301377987861633,0.19646888852119446,0.24772815465927123,0.44419704580307007,0.2647210862636566,0.0,0.0,0.0,0.10125470119714737,0.10125470119714737,0.0,0.033227532535791394,0.0030182536989450453,0.017787179708480837,0.0026064109299331903,2.056296199798584,0.05367971432209015,0.0,0.0,0.0,3.6114766910031904,1.1075801790344344,553.7900895172172
6,1.5472975206375121,1.5163853912353515,0.44316666666666665,1.4798945236206054,0.453,0.453,0.02267544710636139,0.0,0.6643018617630004,0.0,0.07341700839996337,4.212041725986637e-05,0.0006166325421072543,0.3875540885925293,0.6289250268936157,0.3710750379562378,0.3710750379562378,0.010103084333240985,0.280000027179718,2.8026801473401976e-08,0.0,1.7765668840408326,0.0499223572909832,0.0035999964326620102,0.00014400000509340316,0.0,0.0730602154135704,0.5594083342552185,0.07820192623138428,0.5594083342552185,0.18719527506828307,0.247744686126709,0.4349399585723877,0.2697507870197296,0.0,0.0,0.0,0.10120625674724579,0.10120625674724579,0.0,0.03659423068165779,0.003327353460714221,0.020696134492754936,0.003130611022934318,2.4825115051269533,0.05364492255449295,0.0,0.0,0.0,3.508919257001253,1.139952135410043,569.9760677050216
7,1.4498109092712403,1.4183823699951172,0.4776666666666667,1.4509766654968261,0.4465,0.453,0.03247379946708679,0.0,0.6540992827415466,0.0,0.07524980241060257,1.873515211264021e-05,0.0007114226152189076,0.3871420335769653,0.6260986886024476,0.373901370048523,0.373901370048523,0.00855154887214303,0.2800000214576721,2.948937590474543e-08,0.0,1.776566774368286,0.04992240646481514,0.0035999962612986566,0.00014400000509340316,0.0,0.07684309017658233,0.5884376091957092,0.0952451907992363,0.5884376091957092,0.1811371876001358,0.24775165891647338,0.4288888463973999,0.27203831481933594,0.0,0.0,0.0,0.10115897631645203,0.10115897631645203,0.0,0.04303909134864807,0.004085382834076882,0.02504503720998764,0.0037348975501954556,3.0916947345733643,0.056895594745874405,0.0,0.0,0.0,3.638202622998506,1.0994439877302136,549.7219938651068
